Time,Open,High,Low,Close,Change,Volume
11/05/18,2726.37,2744.27,2717.94,2738.31,15.25,0
11/02/18,2745.45,2756.55,2700.44,2723.06,-17.31,0
11/01/18,2717.58,2741.67,2708.85,2740.37,28.63,0
10/31/18,2705.6,2736.69,2705.6,2711.74,29.11,0
10/30/18,2640.68,2685.43,2635.34,2682.63,41.38,0
10/29/18,2682.65,2706.85,2603.54,2641.25,-17.44,0
10/26/18,2667.86,2692.38,2628.16,2658.69,-46.88,0
10/25/18,2674.88,2722.7,2667.84,2705.57,49.47,0
10/24/18,2737.87,2742.59,2651.89,2656.1,-84.59,0
10/23/18,2721.03,2753.59,2691.43,2740.69,-15.19,0
10/22/18,2773.94,2778.94,2749.22,2755.88,-11.9,0
10/19/18,2775.66,2797.77,2760.27,2767.78,-1,0
10/18/18,2802,2806.04,2755.18,2768.78,-40.43,0
10/17/18,2811.67,2816.94,2781.81,2809.21,-0.71000000000004,0
10/16/18,2767.05,2813.46,2766.91,2809.92,59.13,0
10/15/18,2763.83,2775.99,2749.03,2750.79,-16.34,0
10/12/18,2770.54,2775.77,2729.44,2767.13,38.76,0
10/11/18,2776.87,2794.17,2710.51,2728.37,-57.31,0
10/10/18,2873.9,2874.02,2785.25,2785.68,-94.66,0
10/09/18,2882.51,2894.83,2874.27,2880.34,-4.0899999999997,0
10/08/18,2877.53,2889.45,2862.08,2884.43,-1.1400000000003,0
10/05/18,2902.54,2909.64,2869.29,2885.57,-16.04,0
10/04/18,2919.35,2919.78,2883.92,2901.61,-23.9,0
10/03/18,2931.69,2939.86,2921.36,2925.51,2.0800000000004,0
10/02/18,2923.8,2931.42,2919.37,2923.43,-1.1600000000003,0
10/01/18,2926.29,2937.06,2917.91,2924.59,10.61,0
09/28/18,2910.03,2920.53,2907.5,2913.98,-0.019999999999982,0
09/27/18,2911.65,2927.22,2909.27,2914,8.0300000000002,0
09/26/18,2916.98,2931.15,2903.28,2905.97,-9.5900000000001,0
09/25/18,2921.75,2923.95,2913.7,2915.56,-3.8099999999999,0
09/24/18,2921.83,2923.79,2912.63,2919.37,-10.3,0
09/21/18,2936.76,2940.91,2927.11,2929.67,-1.0799999999999,0
09/20/18,2919.73,2934.8,2919.73,2930.75,22.8,0
09/19/18,2906.6,2912.36,2903.82,2907.95,3.6399999999999,0
09/18/18,2890.74,2911.17,2890.43,2904.31,15.51,0
09/17/18,2903.83,2904.65,2886.16,2888.8,-16.18,0
09/14/18,2906.38,2908.3,2895.77,2904.98,0.80000000000018,0
09/13/18,2896.85,2906.76,2896.39,2904.18,15.26,0
09/12/18,2888.29,2894.65,2879.2,2888.92,1.0300000000002,0
09/11/18,2871.57,2892.52,2866.78,2887.89,10.76,0
09/10/18,2881.39,2886.93,2875.94,2877.13,5.4500000000003,0
09/07/18,2868.26,2883.81,2864.12,2871.68,-6.3700000000003,0
09/06/18,2888.64,2892.05,2867.29,2878.05,-10.55,0
09/05/18,2891.59,2894.21,2876.92,2888.6,-8.1199999999999,0
09/04/18,2896.96,2900.18,2885.13,2896.72,-4.8000000000002,0
08/31/18,2898.37,2906.32,2891.73,2901.52,0.38999999999987,0
08/30/18,2908.94,2912.46,2895.22,2901.13,-12.91,0
08/29/18,2900.62,2916.5,2898.4,2914.04,16.52,0
08/28/18,2901.45,2903.77,2893.5,2897.52,0.7800000000002,0
08/27/18,2884.69,2898.25,2884.69,2896.74,22.05,0
08/24/18,2862.35,2876.16,2862.35,2874.69,17.71,0
08/23/18,2860.29,2868.78,2854.03,2856.98,-4.8400000000001,0
08/22/18,2860.99,2867.54,2856.05,2861.82,-1.1399999999999,0
08/21/18,2861.51,2873.23,2861.32,2862.96,5.9099999999999,0
08/20/18,2853.93,2859.76,2850.62,2857.05,6.9200000000001,0
08/17/18,2838.32,2855.63,2833.73,2850.13,9.4400000000001,0
08/16/18,2831.44,2850.49,2831.44,2840.69,22.32,0
08/15/18,2827.95,2827.95,2802.49,2818.37,-21.59,0
08/14/18,2827.88,2843.11,2826.58,2839.96,18.03,0
08/13/18,2835.46,2843.4,2819.88,2821.93,-11.35,0
08/10/18,2839.64,2842.2,2825.81,2833.28,-20.3,0
08/09/18,2857.19,2862.48,2851.98,2853.58,-4.1199999999999,0
08/08/18,2856.79,2862.44,2853.09,2857.7,-0.75,0
08/07/18,2855.92,2863.43,2855.92,2858.45,8.0499999999997,0
08/06/18,2840.29,2853.29,2835.98,2850.4,10.05,0
08/03/18,2829.62,2840.38,2827.37,2840.35,13.13,0
08/02/18,2800.48,2829.91,2796.34,2827.22,13.86,0
